date,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DIFF,PRECTOTCORR,SZA,RH2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,WS10M,PS,T2M,ALLSKY_SRF_ALB
2024-07-18 08:00:00,2024,7,18,8,0.0,0.05,90.0,75.46,0.0,0.0,2.35,87.27,17.25,-999.0
2024-07-18 09:00:00,2024,7,18,9,0.0,0.01,90.0,74.82,0.0,0.0,2.25,87.26,16.89,-999.0
2024-07-18 10:00:00,2024,7,18,10,0.0,0.0,90.0,74.84,0.0,0.0,2.54,87.26,16.61,-999.0
2024-07-18 11:00:00,2024,7,18,11,0.0,0.0,90.0,73.36,0.0,0.0,2.59,87.27,16.63,-999.0
2024-07-18 12:00:00,2024,7,18,12,32.56,0.0,85.11,72.73,41.58,34.03,2.39,87.28,17.7,0.16
2024-07-18 13:00:00,2024,7,18,13,120.51,0.0,76.56,73.49,162.57,123.45,1.54,87.27,20.48,0.16
2024-07-18 14:00:00,2024,7,18,14,210.31,0.0,67.44,54.41,314.65,249.95,1.38,87.27,23.54,0.16
2024-07-18 15:00:00,2024,7,18,15,256.16,0.35,58.16,41.77,471.23,371.17,0.63,87.27,26.04,0.12
2024-07-18 16:00:00,2024,7,18,16,282.9,0.75,49.11,33.08,615.5,495.67,0.44,87.28,28.7,0.13
2024-07-18 17:00:00,2024,7,18,17,327.27,0.7,40.89,30.77,719.62,572.28,1.19,87.29,29.77,0.12
2024-07-18 18:00:00,2024,7,18,18,302.02,0.29,34.42,30.6,810.05,656.55,1.57,87.3,30.2,0.14
2024-07-18 19:00:00,2024,7,18,19,404.72,0.28,31.07,30.73,865.33,693.5,1.65,87.3,30.53,0.17
2024-07-18 20:00:00,2024,7,18,20,277.13,0.58,31.92,31.73,857.28,591.35,1.54,87.31,30.38,0.18
2024-07-18 21:00:00,2024,7,18,21,324.48,0.61,36.67,32.49,801.62,535.33,1.41,87.32,30.23,0.16
2024-07-18 22:00:00,2024,7,18,22,189.35,0.66,43.97,33.36,705.42,238.5,1.45,87.33,29.79,0.15
2024-07-18 23:00:00,2024,7,18,23,168.79,0.6,52.61,35.35,574.03,203.82,1.58,87.34,29.04,0.15
2024-07-19 00:00:00,2024,7,19,0,75.96,0.74,61.82,39.35,424.4,94.5,1.68,87.35,28.38,0.14
2024-07-19 01:00:00,2024,7,19,1,79.35,0.58,71.09,44.94,259.4,81.32,1.61,87.38,27.14,0.15
2024-07-19 02:00:00,2024,7,19,2,56.0,0.13,80.06,65.71,110.68,55.9,1.5,87.43,24.12,0.15
2024-07-19 03:00:00,2024,7,19,3,10.05,0.02,88.04,67.75,13.15,9.38,1.73,87.49,22.06,0.16
2024-07-19 04:00:00,2024,7,19,4,0.0,0.01,90.0,67.96,0.0,0.0,1.61,87.52,21.31,-999.0
2024-07-19 05:00:00,2024,7,19,5,0.0,0.01,90.0,67.71,0.0,0.0,1.46,87.54,20.88,-999.0
2024-07-19 06:00:00,2024,7,19,6,0.0,0.5,90.0,68.18,0.0,0.0,1.51,87.55,20.39,-999.0
2024-07-19 07:00:00,2024,7,19,7,0.0,0.23,90.0,69.0,0.0,0.0,1.69,87.56,19.88,-999.0
2024-07-19 08:00:00,2024,7,19,8,0.0,0.12,90.0,68.93,0.0,0.0,1.79,87.57,19.53,-999.0
2024-07-19 09:00:00,2024,7,19,9,0.0,0.02,90.0,69.97,0.0,0.0,1.91,87.59,18.99,-999.0
2024-07-19 10:00:00,2024,7,19,10,0.0,0.0,90.0,72.95,0.0,0.0,2.11,87.6,18.05,-999.0
2024-07-19 11:00:00,2024,7,19,11,0.0,0.0,90.0,76.29,0.0,0.0,2.28,87.61,17.02,-999.0
2024-07-19 12:00:00,2024,7,19,12,32.78,0.01,85.28,76.17,41.38,32.45,1.99,87.62,17.37,0.17
2024-07-19 13:00:00,2024,7,19,13,99.1,0.0,76.71,65.42,166.45,132.12,1.89,87.65,20.01,0.16
2024-07-19 14:00:00,2024,7,19,14,139.24,0.01,67.59,52.78,319.75,274.12,1.6,87.67,22.33,0.11
2024-07-19 15:00:00,2024,7,19,15,135.09,0.28,58.31,40.41,477.48,429.5,1.23,87.67,25.79,0.12
2024-07-19 16:00:00,2024,7,19,16,167.39,1.12,49.26,36.13,617.9,584.55,1.73,87.68,27.71,0.12
2024-07-19 17:00:00,2024,7,19,17,178.96,0.51,41.05,33.75,732.5,718.78,2.22,87.67,28.99,0.12
2024-07-19 18:00:00,2024,7,19,18,194.62,0.8,34.6,31.93,810.5,784.55,2.67,87.66,29.84,0.14
2024-07-19 19:00:00,2024,7,19,19,305.06,1.69,31.26,30.95,815.62,759.22,3.04,87.64,30.27,0.13
2024-07-19 20:00:00,2024,7,19,20,236.86,2.39,32.1,30.55,808.5,703.85,3.21,87.64,30.37,0.15
2024-07-19 21:00:00,2024,7,19,21,254.03,3.47,36.83,30.98,753.55,560.0,3.07,87.63,30.09,0.15
2024-07-19 22:00:00,2024,7,19,22,249.19,4.47,44.11,32.83,659.12,445.9,2.66,87.61,29.42,0.15
2024-07-19 23:00:00,2024,7,19,23,226.56,4.63,52.75,37.56,535.12,339.92,2.06,87.6,28.61,0.15
2024-07-20 00:00:00,2024,7,20,0,99.0,3.72,61.95,41.11,388.83,163.73,1.55,87.59,28.26,0.14
2024-07-20 01:00:00,2024,7,20,1,115.28,1.52,71.23,45.36,229.98,144.18,1.17,87.6,27.04,0.11
2024-07-20 02:00:00,2024,7,20,2,50.68,0.39,80.2,61.2,93.82,56.15,1.05,87.62,25.23,0.15
2024-07-20 03:00:00,2024,7,20,3,10.28,1.01,88.14,55.23,10.7,8.1,1.15,87.66,24.41,0.16
2024-07-20 04:00:00,2024,7,20,4,0.0,0.8,90.0,57.92,0.0,0.0,1.2,87.7,23.46,-999.0
2024-07-20 05:00:00,2024,7,20,5,0.0,1.31,90.0,60.76,0.0,0.0,1.26,87.72,22.59,-999.0
